color_name,hex_code,hue_angle,L,C,H
light olive,#ACBF69,73.3,74.2,45.6,115.9
purplish blue,#601EF9,258.1,38.3,120.4,308.4
yellowish green,#B0DD16,73.6,82.4,87.2,115.5
greenish yellow,#CDFD02,71.5,93.1,98.6,114.4
medium blue,#2C6FBB,211.9,46.3,46.4,277.1
midnight blue,#020035,242.3,2.4,35.4,298.4
bluish purple,#703BE7,258.5,41.8,99.5,307.9
red orange,#FD3C06,13.1,56.2,96.8,43.7
dark magenta,#960056,325.6,32.2,58.3,354.6
greenish,#40A368,144.2,60.1,48.1,152.4
ocean blue,#03719C,196.9,44.6,32.5,250.9
reddish brown,#7F2B0A,16.9,30.1,51.4,47.2
burnt sienna,#B04E0F,23.5,45.2,63.1,54.1
brick,#A03623,9.1,38.3,55.4,39.3
robin's egg blue,#98EFF9,186.2,89.5,27.1,208.9
moss green,#658B38,87.5,53.5,48.1,125.0
eggplant,#380835,303.8,11.1,33.7,330.0
light yellow,#FFFE7A,59.5,97.4,64.5,104.9
leaf green,#5CA904,88.0,62.2,78.4,126.6
pinkish purple,#D648D7,299.6,55.9,85.1,327.4
sea blue,#047495,193.7,45.2,29.6,239.7
pale purple,#B790D4,274.4,65.6,40.1,313.0
hunter green,#0B4008,116.8,22.8,39.8,136.8
fuchsia,#ED0DD9,305.4,55.4,101.2,332.0
crimson,#8C000F,353.6,28.4,62.4,34.4
pale yellow,#FFFF84,60.0,97.8,60.4,105.5
ochre,#BF9005,44.8,62.5,66.8,83.6
mustard yellow,#D2BD0A,53.7,76.1,76.9,95.9
light red,#FF474C,358.4,58.3,79.2,29.7
cerulean,#0485D1,202.2,53.4,47.4,267.6
deep blue,#040273,241.1,11.3,73.1,306.1
rust,#A83C09,19.2,40.5,64.8,49.1
light teal,#90E4C1,155.0,84.6,34.4,164.7
goldenrod,#FAC205,46.3,81.2,82.7,85.3
dark yellow,#D5B60A,50.8,74.6,75.6,92.3
army green,#4B5D16,75.2,36.7,40.6,116.3
seafoam,#80F9AD,142.3,89.6,56.9,152.5
spring green,#A9F971,95.3,90.5,73.7,129.6
dark orange,#C65102,24.2,49.4,73.4,53.3
sand,#E2CA76,46.7,81.7,44.8,93.2
light orange,#FDAA48,32.5,76.1,64.7,69.9
bright pink,#FE01B1,318.3,56.4,91.4,345.6
chartreuse,#C1F80A,73.9,91.0,97.3,116.2
deep purple,#36013F,291.3,10.3,42.3,323.3
dark brown,#341C02,31.2,13.0,20.8,63.7
kelly green,#02AB2E,135.6,61.1,80.0,140.3
seafoam green,#7AF9AB,143.1,89.3,58.8,152.8
blue green,#137E6D,170.5,47.2,32.6,177.9
burgundy,#610023,338.4,18.6,41.8,11.7
dark teal,#014D4E,180.8,29.1,20.8,198.2
brick red,#8F1402,7.7,30.3,64.6,41.3
plum,#580F41,318.9,19.2,39.3,342.0
mint green,#8FFF9F,128.6,91.6,62.9,144.9
gold,#DBB40C,48.7,74.7,75.6,89.5
yellow green,#C0FB2D,77.2,91.9,93.6,118.0
bright purple,#BE03FD,284.9,49.6,117.8,318.8
dark red,#840000,0.0,26.5,62.9,38.6
grass green,#3F9B0B,98.3,56.6,75.8,131.3
navy,#01153E,220.3,8.0,30.6,291.3
burnt orange,#C04E01,24.2,47.8,71.9,53.3
bright blue,#0165FC,216.1,47.4,88.3,293.2
rose,#CF6275,349.5,55.4,46.1,12.8
mustard,#CEB301,52.1,73.1,75.3,93.5
indigo,#380282,265.3,17.9,75.9,310.6
lime,#AAFF32,84.9,91.8,97.0,123.4
sea green,#53FCA1,147.7,88.9,70.5,153.7
periwinkle,#8E82FE,245.8,60.7,69.8,299.8
dark pink,#CB416B,341.7,48.9,57.8,6.9
olive green,#677A04,69.7,48.0,56.2,112.1
navy blue,#001146,225.4,7.6,39.3,297.2
beige,#E6DAA6,48.7,86.9,27.4,97.9
salmon,#FF796C,5.3,66.5,59.1,32.3
olive,#6E750E,64.1,47.1,51.7,107.0
maroon,#650021,340.4,19.5,43.3,15.1
bright green,#01FF07,121.4,87.7,119.3,136.2
dark purple,#35063E,290.4,10.8,39.2,322.7
forest green,#06470C,125.5,25.5,42.8,138.8
cyan,#00FFFF,180.0,91.1,50.1,196.4
tan,#D1B26F,41.0,73.9,38.3,86.3
dark blue,#00035B,238.0,7.4,61.0,305.4
lavender,#C79FEF,270.0,71.7,45.7,310.7
turquoise,#06C2AC,173.0,70.6,45.3,180.5
dark green,#033500,116.6,18.2,37.4,137.4
violet,#9A0EEA,278.2,42.9,111.7,315.7
light purple,#BF77F6,274.0,62.4,73.4,313.8
lime green,#89FE05,88.2,90.0,107.4,127.1
sky blue,#75BBFD,209.1,73.8,39.5,264.5
yellow,#FFFF14,60.0,97.2,95.4,103.0
magenta,#C20078,322.9,42.5,71.7,351.4
light green,#96F97B,107.1,89.7,72.8,135.5
orange,#F97306,26.9,63.7,84.8,56.4
teal,#029386,174.6,54.7,35.9,184.0
light blue,#95D0FC,205.6,81.0,28.6,253.9
red,#E50000,0.0,47.8,96.4,40.0
brown,#653700,32.7,28.1,41.9,66.4
pink,#FF81C0,330.0,70.0,55.9,349.0
blue,#0343DF,222.5,36.7,94.1,298.8
green,#15B01A,121.9,62.7,86.4,137.0
purple,#7E1E9C,285.7,33.5,74.7,320.1
