,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1921,0.0,0.0005204267616811197,0.0010405828202230594,0.001560468457095109,0.0020800839533279946,0.0025994295895142355,0.0031185056458097327,0.003637312401934262,0.004155850137172419,0.004674119130374582,0.005192119659957763,0.005709852003906603,0.006227316439774241,0.006744513244682995,0.0072614426953254855,0.007778105067965665,0.00829450063843919,0.00881062968215492,0.009326492474095192,0.009842089288817132,0.01035742040045361,0.010872486082713574,0.011387286608883483,0.011901822251827752,0.012416093283990006,0.01293009997739377,0.013443842603643055,0.013957321433923758,0.014470536739004156,0.014983488789235874,0.015496177854554519,0.016008604204481115,0.016520768108122315,0.017032669834171392,0.017544309650909508,0.018055687826206042,0.018566804627519525,0.01907766032189904,0.01958825517598413,0.020098589456006226,0.020608663427789616,0.021118477356751743,0.021628031507904415,0.02213732614585459,0.02264636153480494,0.023155137938555188,0.023663655620502377,0.024171914843642124,0.024679915870568885,0.025187658963477584,0.02569514438416355,0.026202372394024072,0.026709343254058677,0.027216057224870242,0.027722514566665562,0.028228715539256446,0.028734660402060304,0.029240349414100725,0.02974578283400907,0.030250960920024297,0.030755883929994243,0.031260552121376683,0.0317649657512393,0.03226912507626144,0.0327730303527342,0.033276681836561295,0.033780079783260225,0.03428322444796267,0.03478611608541554,0.03528875494998146,0.03579114129563968,0.036293275375986894,0.03679515744423813,0.03729678775322696,0.0377981665554072,0.03829929410285265,0.03880017064725858,0.039300796439942144,0.03980117173184342,0.04030129677352569,0.04080117181517677,0.04130079710660926,0.041800172897261616,0.04229929943619881,0.04279817697211288,0.04329680575332419,0.04379518602778152,0.04429331804306313,0.04479120204637775,0.04528883828456482,0.04578622700409542,0.046283368451073226,0.046780262871234844,0.047276910509950934,0.04777331161222668,0.04826946642270264,0.048765375185655095,0.04926103814499757,0.049756455544280896,0.05025162762669384
1922,0.0005204267616811663,0.0,0.0005201560585419184,0.0010400416954139703,0.0015596571916467754,0.0020790028278331015,0.002598078884128563,0.003116885640253111,0.00363542337549131,0.004153692368693404,0.004671692898276625,0.005189425242225496,0.005706889678093052,0.006224086483001842,0.006741015933644384,0.007257678306284528,0.0077740738767580475,0.008290202920473687,0.008806065712414001,0.00932166252713598,0.00983699363877247,0.010352059321032364,0.010866859847202282,0.01138139549014656,0.011895666522308827,0.01240967321571259,0.012923415841961928,0.013436894672242556,0.013950109977322983,0.0144630620275547,0.014975751092873368,0.015488177442800026,0.01600034134644119,0.016512243072490294,0.017023882889228393,0.017535261064524816,0.018046377865838462,0.018557233560217927,0.019067828414302896,0.01957816269432512,0.020088236666108466,0.02059805059507057,0.02110760474622326,0.021616899384173348,0.02212593477312384,0.022634711176874066,0.023143228858821276,0.023651488081960877,0.024159489108887728,0.024667232201796396,0.025174717622482457,0.025681945632342905,0.026188916492377572,0.026695630463189114,0.02720208780498445,0.02770828877757533,0.028214233640379116,0.02871992265241959,0.029225356072327888,0.029730534158343085,0.030235457168313152,0.030740125359695444,0.031244538989558143,0.0317486983145803,0.032252603591052954,0.03275625507488013,0.033259653021579016,0.0337627976862816,0.03426568932373439,0.03476832818830029,0.03527071453395849,0.035772848614305734,0.03627473068255695,0.03677636099154584,0.03727773979372602,0.03777886734117147,0.03827974388557745,0.03878036967826106,0.039280744970162304,0.0397808700118446,0.040280745053495624,0.04078037034492807,0.04127974613558043,0.04177887267451759,0.04227775021043178,0.04277637899164299,0.04327475926610034,0.043772891281381975,0.04427077528469657,0.04476841152288368,0.04526580024241424,0.04576294168939198,0.046259836109553705,0.046756483748269774,0.0472528848505455,0.04774903966102138,0.048244948423974025,0.048740611383316465,0.04923602878259975,0.04973120086501269
1923,0.00104058282022311,0.0005201560585420083,0.0,0.0005198856368720542,0.0010395011331048897,0.0015588467692910788,0.0020779228255866163,0.0025967295817111834,0.0031152673169493115,0.0036335363101514507,0.00415153683973471,0.004669269183683612,0.0051867336195511975,0.005703930424459912,0.006220859875102506,0.006737522247742614,0.007253917818216126,0.007770046861931788,0.008285909653872032,0.008801506468594053,0.00931683758023055,0.009831903262490487,0.010346703788660304,0.010861239431604703,0.011375510463766982,0.011889517157170631,0.012403259783419912,0.012916738613700688,0.013429953918781034,0.01394290596901275,0.014455595034331439,0.014968021384258045,0.015480185287899172,0.015992087013948306,0.016503726830686384,0.01701510500598293,0.01752622180729651,0.01803707750167592,0.018547672355761,0.01905800663578313,0.01956808060756654,0.020077894536528616,0.020587448687681326,0.021096743325631436,0.021605778714581848,0.022114555118332168,0.022623072800279396,0.023131332023418966,0.023639333050345795,0.02414707614325443,0.02465456156394047,0.025161789573800955,0.025668760433835577,0.02617547440464721,0.026681931746442566,0.02718813271903344,0.02769407758183715,0.028199766593877677,0.028705200013786042,0.029210378099801208,0.029715301109771167,0.030219969301153542,0.030724382931016207,0.031228542256038386,0.03173244753251106,0.032236099016338185,0.03273949696303714,0.033242641627739634,0.03374553326519246,0.03424817212975835,0.03475055847541653,0.0352526925557638,0.03575457462401499,0.03625620493300395,0.03675758373518405,0.0372587112826295,0.03775958782703543,0.03826021361971908,0.0387605889116203,0.039260713953302606,0.0397605889949537,0.040260214286386216,0.040759590077038464,0.0412587166159757,0.04175759415188979,0.04225622293310111,0.04275460320755838,0.043252735222840046,0.04375061922615473,0.04424825546434165,0.044745644183872293,0.045242785630850074,0.04573968005101178,0.04623632768972784,0.04673272879200366,0.04722888360247945,0.04772479236543207,0.04822045532477458,0.04871587272405782,0.04921104480647076
1924,0.001560468457095192,0.0010400416954139326,0.0005198856368720565,0.0,0.0005196154962327548,0.0010389611324190292,0.0015580371887146424,0.002076843944839117,0.002595381680077287,0.00311365067327947,0.0036316512028626556,0.004149383546811478,0.004666847982679093,0.005184044787587843,0.0057009742382303765,0.006217636610870562,0.006734032181344068,0.007250161225059751,0.007766024017000037,0.008281620831721986,0.008796951943358493,0.009312017625618473,0.0098268181517883,0.010341353794732595,0.010855624826894887,0.011369631520298533,0.011883374146547868,0.012396852976828571,0.012910068281909059,0.013423020332140661,0.013935709397459374,0.014448135747386041,0.014960299651027131,0.015472201377076293,0.015983841193814352,0.0164952193691109,0.017006336170424418,0.017517191864803893,0.01802778671888897,0.018538120998911112,0.019048194970694474,0.01955800889965664,0.020067563050809256,0.020576857688759387,0.02108589307770983,0.021594669481460015,0.022103187163407263,0.022611446386546916,0.023119447413473722,0.02362719050638244,0.024134675927068458,0.024641903936928982,0.025148874796963556,0.02565558876777505,0.026162046109570427,0.026668247082161294,0.02717419194496516,0.027679880957005628,0.028185314376913944,0.02869049246292908,0.02919541547289916,0.0297000836642815,0.030204497294144133,0.030708656619166334,0.031212561895639018,0.031716213379466104,0.03221961132616502,0.03272275599086753,0.03322564762832039,0.03372828649288627,0.03423067283854455,0.034732806918891725,0.03523468898714289,0.0357363192961318,0.036237698098312066,0.03673882564575752,0.037239702190163385,0.037740327982847086,0.03824070327474827,0.038740828316430595,0.039240703358081636,0.03974032864951411,0.04023970444016648,0.04073883097910356,0.041237708515017776,0.041736337296229,0.04223471757068629,0.04273284958596798,0.04323073358928263,0.043728369827469596,0.044225758547000206,0.04472289999397803,0.04521979441413972,0.045716442052855764,0.046212843155131564,0.04670899796560738,0.04720490672855997,0.04770056968790244,0.048195987087185754,0.04869115916959869
1925,0.002080083953328005,0.00155965719164681,0.0010395011331048442,0.0005196154962327853,0.0,0.0005193456361862487,0.0010384216924818263,0.0015572284486063198,0.002075766183844531,0.0025940351770466466,0.0031120357066298705,0.0036297680505787237,0.004147232486446257,0.004664429291355043,0.005181358741997629,0.005698021114637779,0.006214416685111278,0.006730545728826983,0.007246408520767198,0.007762005335489189,0.008277336447125706,0.008792402129385615,0.009307202655555454,0.009821738298499756,0.01033600933066206,0.010850016024065818,0.011363758650315095,0.011877237480595835,0.012390452785676239,0.012903404835907841,0.013416093901226575,0.013928520251153192,0.01444068415479436,0.014952585880843437,0.01546422569758159,0.015975603872878028,0.016486720674191595,0.016997576368571136,0.017508171222656205,0.018018505502678365,0.018528579474461678,0.019038393403423816,0.019547947554576454,0.02005724219252661,0.02056627758147697,0.021075053985227247,0.021583571667174516,0.022091830890314135,0.02259983191724092,0.023107575010149605,0.023615060430835604,0.024122288440696166,0.02462925930073069,0.025135973271542274,0.02564243061333767,0.026148631585928533,0.02665457644873232,0.02716026546077285,0.027665698880681117,0.028170876966696335,0.02867579997666631,0.02918046816804873,0.02968488179791133,0.03018904112293355,0.030692946399406135,0.031196597883233288,0.03169999582993228,0.032203140494634706,0.0327060321320876,0.03320867099665346,0.03371105734231172,0.03421319142265892,0.03471507349091006,0.035216703799899045,0.03571808260207923,0.03621921014952469,0.036720086693930606,0.03722071248661424,0.0377210877785155,0.03822121282019774,0.038721087861848844,0.03922071315328127,0.039720088943933654,0.04021921548287081,0.040718093018784915,0.04121672179999626,0.04171510207445358,0.04221323408973518,0.0427111180930498,0.04320875433123681,0.043706143050767504,0.04420328449774525,0.04470017891790694,0.04519682655662296,0.04569322765889874,0.04618938246937458,0.046685291232327134,0.04718095419166969,0.04767637159095284,0.04817154367336589
1926,0.002599429589514286,0.0020790028278331553,0.0015588467692910996,0.0010389611324190385,0.0005193456361863339,0.0,0.0005190760562955422,0.0010378828124200546,0.0015564205476581953,0.0020746895408603554,0.002592690070443617,0.003110422414392391,0.003627886850260065,0.004145083655168775,0.004662013105811301,0.005178675478451415,0.005695071048925021,0.006211200092640636,0.006727062884580892,0.007242659699302924,0.007757990810939338,0.0082730564931994,0.00878785701936925,0.009302392662313561,0.009816663694475765,0.010330670387879522,0.010844413014128853,0.011357891844409516,0.011871107149489952,0.012384059199721666,0.012896748265040309,0.013409174614966875,0.01392133851860812,0.014433240244657225,0.014944880061395245,0.015456258236691802,0.015967375038005417,0.016478230732384795,0.01698882558646986,0.017499159866492035,0.018009233838275414,0.018519047767237527,0.019028601918390186,0.01953789655634036,0.020046931945290756,0.02055570834904101,0.021064226030988186,0.021572485254127888,0.022080486281054645,0.022588229373963303,0.023095714794649395,0.02360294280450988,0.024109913664544475,0.02461662763535603,0.025123084977151332,0.025629285949742304,0.026135230812546015,0.026640919824586603,0.02714635324449482,0.02765153133051001,0.028156454340480103,0.02866112253186249,0.02916553616172506,0.02966969548674718,0.0301736007632199,0.030677252247047006,0.031180650193745958,0.03168379485844852,0.03218668649590133,0.032689325360467175,0.03319171170612542,0.033693845786472644,0.034195727854723884,0.03469735816371281,0.03519873696589293,0.0356998645133384,0.03620074105774436,0.03670136685042793,0.03720174214232916,0.03770186718401153,0.03820174222566258,0.038701367517095075,0.03920074330774735,0.03969986984668458,0.0401987473825987,0.04069737616380994,0.041195756438267284,0.04169388845354891,0.04219177245686351,0.04268940869505056,0.04318679741458122,0.04368393886155901,0.044180833281720566,0.044677480920436684,0.04517388202271244,0.04567003683318832,0.046165945596140956,0.046661608555483354,0.04715702595476658,0.04765219803717962
1927,0.003118505645809825,0.002598078884128537,0.0020779228255866132,0.00155803718871455,0.001038421692481704,0.0005190760562955067,0.0,0.0005188067561245312,0.001037344491362713,0.0015556134845648062,0.002073614014148106,0.002591346358096911,0.003108810793964503,0.0036260075988732493,0.004142937049515827,0.004659599422155905,0.005175994992629504,0.005692124036345142,0.006207986828285439,0.006723583643007401,0.007238914754643823,0.007753980436903817,0.008268780963073678,0.008783316606017996,0.009297587638180324,0.009811594331583968,0.01032533695783324,0.010838815788114055,0.011352031093194407,0.01186498314342612,0.012377672208744786,0.012890098558671412,0.01340226246231251,0.013914164188361642,0.014425804005099758,0.014937182180396205,0.015448298981709869,0.01595915467608931,0.01646974953017437,0.01698008381019656,0.017490157781979893,0.017999971710941982,0.018509525862094655,0.01901882050004486,0.01952785588899517,0.020036632292745517,0.02054514997469271,0.02105340919783238,0.021561410224759117,0.022069153317667855,0.02257663873835381,0.02308386674821434,0.023590837608248996,0.02409755157906053,0.02460400892085585,0.025110209893446703,0.025616154756250568,0.02612184376829098,0.026627277188199378,0.027132455274214536,0.027637378284184527,0.028142046475566878,0.028646460105429643,0.02915061943045167,0.029654524706924403,0.030158176190751465,0.030661574137450492,0.031164718802152963,0.03166761043960581,0.03217024930417164,0.03267263564982987,0.03317476973017711,0.03367665179842833,0.03417828210741721,0.03467966090959748,0.035180788457042846,0.035681665001448856,0.03618229079413247,0.03668266608603367,0.03718279112771595,0.03768266616936706,0.03818229146079951,0.03868166725145191,0.03918079379038899,0.03967967132630312,0.04017830010751448,0.04067668038197173,0.04117481239725339,0.041672696400568074,0.04217033263875505,0.04266772135828568,0.04316486280526339,0.04366175722542505,0.04415840486414127,0.044654805966417,0.0451509607768928,0.0456468695398454,0.04614253249918788,0.04663794989847105,0.047133121980884096
1928,0.003637312401934372,0.003116885640253148,0.002596729581711135,0.002076843944839069,0.0015572284486063037,0.0010378828124200214,0.000518806756124439,0.0,0.0005185377352381119,0.0010368067284403603,0.001554807258023476,0.0020725396019724233,0.002590004037839934,0.0031072008427487155,0.0036241302933912338,0.004140792666031388,0.004657188236504981,0.00517331728022064,0.005689180072160867,0.00620477688688287,0.0067201079985193014,0.007235173680779337,0.007749974206949208,0.008264509849893424,0.008778780882055763,0.009292787575459406,0.009806530201708732,0.010320009031989472,0.010833224337069854,0.011346176387301567,0.011858865452620253,0.012371291802546829,0.012883455706188004,0.013395357432237163,0.01390699724897526,0.014418375424271712,0.014929492225585312,0.015440347919964816,0.015950942774049872,0.016461277054071962,0.016971351025855362,0.017481164954817427,0.01799071910597012,0.01850001374392023,0.019009049132870687,0.019517825536620903,0.020026343218568114,0.020534602441707864,0.02104260346863458,0.021550346561543286,0.022057831982229336,0.022565059992089787,0.0230720308521244,0.02357874482293602,0.024085202164731357,0.024591403137322207,0.025097348000125995,0.025603037012166468,0.026108470432074815,0.026613648518089943,0.027118571528060055,0.027623239719442375,0.028127653349305105,0.028631812674327153,0.0291357179507999,0.02963936943462703,0.030142767381325902,0.030645912046028397,0.031148803683481278,0.03165144254804721,0.03215382889370542,0.03265596297405257,0.03315784504230377,0.03365947535129272,0.03416085415347292,0.034661981700918394,0.03516285824532435,0.03566348403800789,0.036163859329909176,0.03666398437159147,0.03716385941324254,0.03766348470467494,0.03816286049532734,0.038661987034264496,0.039160864570178644,0.03965949335138989,0.04015787362584717,0.04065600564112885,0.04115388964444351,0.041651525882630526,0.04214891460216112,0.042646056049138875,0.04314295046930053,0.04363959810801673,0.04413599921029244,0.04463215402076826,0.045128062783720835,0.04562372574306339,0.04611914314234652,0.04661431522475956
1929,0.004155850137172541,0.003635423375491381,0.0031152673169492786,0.00259538168007721,0.0020757661838445253,0.001556420547658158,0.001037344491362722,0.0005185377352381531,0.0,0.0005182689932021813,0.001036269522785335,0.0015540018667342026,0.0020714663026018534,0.00258866310751056,0.00310559255815313,0.003622254930793249,0.004138650501266835,0.004654779544982516,0.0051706423369226725,0.005686239151644717,0.006201570263281157,0.006716635945541123,0.007231436471711006,0.007745972114655341,0.008260243146817581,0.008774249840221335,0.009287992466470604,0.00980147129675138,0.01031468660183168,0.010827638652063392,0.0113403277173821,0.011852754067308737,0.012364917970949876,0.012876819696998951,0.013388459513737029,0.013899837689033597,0.014410954490347135,0.014921810184726589,0.01543240503881164,0.01594273931883386,0.01645281329061721,0.016962627219579363,0.017472181370731962,0.017981476008682096,0.018490511397632584,0.018999287801382776,0.019507805483330008,0.020016064706469616,0.020524065733396418,0.021031808826305096,0.021539294246991122,0.022046522256851615,0.022553493116886293,0.023060207087697775,0.023566664429493133,0.02407286540208409,0.024578810264887806,0.02508449927692833,0.025589932696836633,0.02609511078285184,0.02660003379282185,0.027104701984204244,0.027609115614066943,0.028113274939089012,0.028617180215561658,0.029120831699388863,0.029624229646087807,0.030127374310790208,0.030630265948243123,0.031132904812809035,0.031635291158467235,0.03213742523881441,0.03263930730706559,0.0331409376160546,0.03364231641823473,0.03414344396568021,0.0346443205100861,0.035144946302769806,0.035645321594670945,0.03614544663635326,0.03664532167800438,0.03714494696943686,0.03764432276008916,0.03814344929902638,0.03864232683494043,0.0391409556161518,0.039639335890609105,0.0401374679058907,0.04063535190920532,0.041132988147392385,0.04163037686692295,0.04212751831390075,0.04262441273406238,0.04312106037277857,0.043617461475054256,0.044113616285530115,0.044609525048482646,0.04510518800782517,0.04560060540710837,0.04609577748952141
1930,0.00467411913037449,0.004153692368693395,0.0036335363101514242,0.0031136506732793536,0.002594035177046528,0.002074689540860297,0.0015556134845647852,0.0010368067284403084,0.0005182689932021143,0.0,0.0005180005295831919,0.0010357328735320908,0.0015531973093996598,0.002070394114308402,0.0025873235649509123,0.0031039859375911073,0.0036203815080646873,0.004136510551780279,0.004652373343720587,0.005167970158442561,0.005683301270079011,0.006198366952339019,0.006713167478508801,0.007227703121453145,0.007741974153615397,0.008255980847019149,0.008769723473268471,0.009283202303549171,0.009796417608629615,0.010309369658861213,0.010822058724179944,0.01133448507410653,0.011846648977747747,0.012358550703796848,0.012870190520534907,0.013381568695831368,0.013892685497144954,0.01440354119152447,0.014914136045609518,0.015424470325631639,0.015934544297415056,0.016444358226377184,0.016953912377529804,0.01746320701547996,0.017972242404430367,0.01848101880818065,0.01898953649012779,0.019497795713267478,0.020005796740194256,0.020513539833102903,0.021021025253789023,0.02152825326364944,0.02203522412368407,0.02254193809449564,0.023048395436291017,0.023554596408881856,0.024060541271685724,0.024566230283726193,0.025071663703634447,0.025576841789649737,0.026081764799619638,0.026586432991002117,0.02709084662086478,0.02759500594588687,0.02809891122235953,0.02860256270618669,0.029105960652885593,0.029609105317588133,0.03011199695504097,0.030614635819606863,0.031117022165265046,0.031619156245612366,0.032121038313863516,0.03262266862285237,0.03312404742503265,0.03362517497247802,0.034126051516883964,0.0346266773095676,0.03512705260146882,0.03562717764315116,0.03612705268480212,0.03662667797623466,0.03712605376688696,0.03762518030582416,0.03812405784173833,0.03862268662294959,0.039121066897406916,0.039619198912688544,0.04011708291600314,0.040614719154190244,0.04111210787372077,0.041609249320698614,0.04210614374086023,0.042602791379576406,0.043099192481852074,0.04359534729232796,0.044091256055280574,0.044586919014623055,0.045082336413906215,0.04557750849631925
